V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Q1.1,Q1.2,Q1.3_1_TEXT,Q1.3_2_TEXT,Q1.3_3_TEXT,Q1.3_4_TEXT,Q1.3_5_TEXT,Q1.3_6_TEXT,Q1.3_7_TEXT,Q1.4,Q1.5_1,Q1.5_2,Q1.5_3,Q1.5_4,Q1.5_5,Q1.5_6,Q1.5_7,Q1.5_7_TEXT,Q1.6,Q1.6_TEXT,Q2.1,Q2.2_1,Q2.2_2,Q2.2_3,Q2.3_1,Q2.3_2,Q2.3_3,Q2.3_4,Q2.4_1,Q2.4_2,Q2.4_3,Q2.4_4,Q3.1,Q3.2_1,Q3.2_2,Q3.2_3,Q3.3_1,Q3.3_2,Q3.3_3,Q3.3_4,Q3.4_1,Q3.4_2,Q3.4_3,Q3.4_4,Q4.1,Q4.2,Q4.3,Q4.4,Q4.5,Q4.6,Q4.7_1,Q4.7_3,Q4.7_4,Q4.7_5,Q4.7_6,Q4.7_7,Q4.8,Q4.9,Q4.10,Q5.1,Q5.2,Q5.3_1,Q5.3_2,Q5.3_3,Q5.3_4,Q5.4,Q5.5_1,Q5.5_2,Q5.5_3,Q5.5_4,Q5.6,Q5.7_1,Q5.7_2,Q5.7_3,Q5.7_4,Q6.1,Q6.2,Q6.3_1,Q6.3_2,Q6.3_3,Q6.3_4,Q6.4,Q6.5_1,Q6.5_2,Q6.5_3,Q6.5_4,Q6.6,Q6.7_1,Q6.7_2,Q6.7_3,Q6.7_4,Q7.1,Q7.2,Q7.3_1,Q7.3_2,Q7.3_3,Q7.3_4,Q7.4,Q7.5_1,Q7.5_2,Q7.5_3,Q7.5_4,Q7.6,Q7.7_1,Q7.7_2,Q7.7_3,Q7.7_4,Q8.1,Q8.2,Q8.3_1,Q8.3_2,Q8.3_3,Q8.3_4,Q8.4,Q8.5_1,Q8.5_2,Q8.5_3,Q8.5_4,Q8.6,Q8.7_1,Q8.7_2,Q8.7_3,Q8.7_4,Q9.1,Q9.2,Q9.3,Q9.4,Q9.5,Q9.6,Q9.7,Q10.1,Q10.2,Q10.3,Q10.4,Q105,Q10.5,Q10.6,Q10.7,Q10.8,Q10.9,Q10.10,Q10.11,Q10.12,Q10.13,Q10.14,Q10.15,Q11.1,Q11.2_1,Q11.2_2,Q11.2_3,Q11.2_4,Q12.1,Q12.2_1,Q12.2_3,Q12.2_4,Q12.2_5,Q12.3_1,Q12.3_3,Q12.3_4,Q12.3_5,Q12.4_1,Q12.4_2,Q12.4_3,Q12.4_4,Q12.5_1,Q12.5_3,Q12.5_4,Q12.6_1,Q12.6_3,Q12.6_4,Q13.1,Q13.2,Q13.3,Q13.4,Q13.5_1,Q13.5_2,Q13.5_3,Q13.5_4,Q13.5_5,Q13.5_6,Q13.5_7,Q13.5_8,Q13.5_9,Q13.5_10,Q13.5_11,Q13.5_11_TEXT,Q13.6_1,Q13.6_2,Q13.6_3,Q13.6_4,Q13.6_5,Q13.6_6,Q13.6_7,Q13.6_8,Q13.6_8_TEXT,Q13.7,Q13.8_1,Q13.8_2,Q13.8_4,Q13.8_5,Q13.8_6,Q13.8_7,Q13.8_8,Q13.8_8_TEXT,Q13.9,Q13.10,Q13.11,Q13.12,Q13.13,Q13.13_TEXT,Q13.14,Q13.15,Q13.16,DO-BR-FL_33,DO-BR-FL_41,DO-BR-FL_40,DO-BR-FL_30,DO-BL-Opinioncredibility,DO-BL-EFSAReputationbarometer,survey.name
R_1fkOHoFCFAetzKW,Default Response Set,Anonymous,,,,0,4/2/2019 16:16,4/2/2019 16:25,1,1,1,Safari,12.1,Macintosh,2560x1440,-1,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1 Safari/605.1.15",1,1,,,,,,1,Chemical,2,,,,,,,,,,,,,,1,3,6,4,10,10,10,10,6.852,20.499,22.645,5,1,2,1,1,1,1,10,9,8,6,9,7,9,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,11.682,0,1,0,0,22.224,0,1,0,0,34.205,0,,,,,,,,,,,,,,,,,1,8,3,3,6,7,4,1,6,6,10,8,10,10,8,6,8,6,9,8,7,9,8,fairness.,4.19,4.19,15.916,1,1,12,12,11,8,11,1,11,12,3,1,5,2,12,12,12,12,12,12,1,4,1,4,,,,1,,,,,,,,,,,,,,,,1,Board,1,,,,,,,,,2,,2,,2,,2,,1,Opinion about EU - control,,Case - control - low risk,EFSA Reputation barometer,Q9.1|Q9.5|Q9.3|Q9.4|Q9.6|Q9.7|Q9.2,Q10.1|Q10.2|Q10.3|Q10.4|Q105|Q10.13|Q10.12|Q10.10|Q10.15|Q10.11|Q10.6|Q10.9|Q10.5|Q10.14|Q10.8|Q10.7,EFSA_survey2_power_group
R_3lS81NoEcKJiduu,Default Response Set,Anonymous,,,,0,4/2/2019 16:11,4/2/2019 16:26,1,1,1,Chrome,73.0.3683.86,Windows NT 10.0,1536x864,-1,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36",1,,,,1,,,,,2,,,,,,,,,,,,,,1,9,9,8,12,10,10,12,5.734,14.917,15.772,4,1,4,1,10,3,1,7,5,6,2,7,6,8,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,24.692,0,1,28.19,28.19,28.57,1,1,0,0,33.804,0,1,8,6,6,8,8,3,1,9,4,8,8,8,8,8,8,8,8,9,8,8,8,8,Regulatory assessment on food safety and scientific opinion.,2.831,42.488,46.733,9,1,4,7,7,7,3,3,8,8,1,1,3,3,12,8,8,12,4,4,1,2,2,,,,,,,,,,,,1,Pharmacy,,,,,,,,1,Regulatory,2,,,,1,,,,,,1,,2,2,,2,Thank you for the invitation!,1,Opinion about EU - control,,Case - control - high risk,EFSA Reputation barometer,Q9.1|Q9.7|Q9.6|Q9.4|Q9.2|Q9.5|Q9.3,Q10.1|Q10.2|Q10.3|Q10.4|Q105|Q10.14|Q10.5|Q10.13|Q10.12|Q10.10|Q10.9|Q10.11|Q10.6|Q10.7|Q10.15|Q10.8,EFSA_survey2_power_group
R_1E74nQvL2uYWNeF,Default Response Set,Anonymous,,,,0,4/2/2019 16:08,4/2/2019 16:35,1,1,1,Firefox,66,Windows NT 6.1,1536x864,32.0.0,,Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:66.0) Gecko/20100101 Firefox/66.0,1,,,1,,,,,,3,,,,,,,,,,,,,,1,10,7,8,7,8,12,7,4.976,20.589,21.701,5,1,3,1,6,4,1,9,6,6,6,7,7,6,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1.568,1.568,11.299,1,1,4.605,4.605,6.368,1,1,8.783,8.783,13.127,1,1,8,5,6,8,8,6,1,7,7,9,9,8,8,9,10,8,6,8,9,9,6,9,setting (global) standards in scientific asessment,14.728,14.728,21.745,1,1,8,12,8,10,12,12,7,11,2,1,2,4,12,12,12,12,12,12,1,3,1,4,,,,,,,1,,,,,,,,,1,,,,,,2,,1,,,,,,,,1,,2,2,,2,,1,Opinion about EU - control,,Case - control - high risk,EFSA Reputation barometer,Q9.1|Q9.3|Q9.7|Q9.2|Q9.5|Q9.4|Q9.6,Q10.1|Q10.2|Q10.3|Q10.4|Q105|Q10.13|Q10.10|Q10.14|Q10.9|Q10.5|Q10.6|Q10.11|Q10.8|Q10.12|Q10.7|Q10.15,EFSA_survey2_power_group
R_1i9j8FVvevmlg71,Default Response Set,Anonymous,,,,0,4/2/2019 18:15,4/2/2019 18:25,1,1,1,Chrome,73.0.3683.86,Windows NT 10.0,1536x864,-1,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36",1,1,,1,1,,,1,"Taxation, Internal Market, Trade",3,,,,,,,,,,,,,,1,9,8,7,12,8,12,12,12.345,16.407,19.188,4,1,1,1,6,1,1,7,6,6,4,6,7,6,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,9.407,0,1,0,0,11.903,0,1,0,0,34.313,0,,,,,,,,,,,,,,,,,1,7,6,6,7,7,6,1,6,6,8,8,8,8,8,8,8,7,6,8,8,8,8,trusted science for safe food,4.158,4.158,53.492,1,1,12,12,12,8,12,12,12,8,1,1,1,1,12,12,12,12,12,12,1,4,1,3,,,,,,,1,,,,,,,,1,1,,1,1,,,2,1,,,,,,,,2,,2,,2,,2,,1,Opinion about EU - control,,Case - control - low risk,EFSA Reputation barometer,Q9.1|Q9.2|Q9.6|Q9.3|Q9.7|Q9.4|Q9.5,Q10.1|Q10.2|Q10.3|Q10.4|Q105|Q10.13|Q10.6|Q10.12|Q10.10|Q10.14|Q10.11|Q10.9|Q10.7|Q10.5|Q10.15|Q10.8,EFSA_survey2_power_group
R_2fWbtRJKQTJ76mZ,Default Response Set,Anonymous,,,,0,4/4/2019 8:28,4/4/2019 9:06,1,1,1,Chrome,73.0.3683.86,Windows NT 6.3,1366x768,-1,,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36",1,,,1,,,,,,3,,,,,,,,,,,,,,1,11,9,10,11,11,11,11,4.251,7.131,8.475,4,1,4,1,3,3,1,9,4,9,8,11,3,6,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,10.849,0,1,55.017,55.017,70.443,1,1,0,0,48.122,0,1,6,6,6,6,6,6,1,7,5,10,10,10,10,2,6,10,10,10,10,8,10,10,being independant,1.415,1.415,10.287,1,1,12,11,11,11,8,11,11,11,2,5,2,3,12,12,12,12,12,12,1,4,2,4,,1,,,,,,,,,,,,1,1,1,,,,,,2,1,,,,,,,,,1,,1,2,,1,,1,Opinion about EU - control,,Case - control - high risk,EFSA Reputation barometer,Q9.1|Q9.3|Q9.7|Q9.2|Q9.5|Q9.6|Q9.4,Q10.1|Q10.2|Q10.3|Q10.4|Q105|Q10.9|Q10.10|Q10.15|Q10.11|Q10.12|Q10.7|Q10.13|Q10.14|Q10.8|Q10.6|Q10.5,EFSA_survey2_power_group
R_3ssiskODIXf2US9,Default Response Set,Anonymous,,,,0,4/4/2019 16:00,4/4/2019 16:17,1,1,1,Chrome,73.0.3683.86,Windows NT 10.0,1196x672,-1,,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36",1,,,1,,,,,,3,,,,,,,,,,,,,,1,7,2,6,12,8,9,8,7.513,22.183,23.389,5,1,1,1,1,1,1,9,9,6,9,6,7,7,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,12.393,0,1,0,0,16.74,0,1,0,0,266.392,0,1,7,4,1,7,6,5,1,8,2,8,4,7,4,4,4,3,4,7,11,8,7,7,being way too conservative in its risk assessment of pesticides,2.3,2.3,18.127,1,1,3,10,10,11,9,5,11,11,2,2,3,3,8,8,8,3,3,2,1,4,1,3,1,,,,,,,,,,,,,1,1,1,,1,1,,,2,1,,,,,,,,,1,,2,2,,1,"In controversial areas like pesticides authorization, political influence has become too important compared to scientific assessment.  ",1,Opinion about EU - control,,Case - control - high risk,EFSA Reputation barometer,Q9.1|Q9.3|Q9.6|Q9.4|Q9.5|Q9.7|Q9.2,Q10.1|Q10.2|Q10.3|Q10.4|Q105|Q10.7|Q10.8|Q10.13|Q10.10|Q10.11|Q10.14|Q10.15|Q10.6|Q10.5|Q10.9|Q10.12,EFSA_survey2_power_group
R_3nvAZ6EDdvTX1dF,Default Response Set,Anonymous,,,,0,4/5/2019 3:48,4/5/2019 4:07,1,1,1,Firefox,65,Macintosh,1680x1050,32.0.0,,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:65.0) Gecko/20100101 Firefox/65.0,1,,,1,1,,,,,1,,1,10,10,10,10,10,10,10,13.836,21.21,22.229,5,,,,,,,,,,,,,1,5,1,7,5,1,6,7,6,7,6,7,13,13,1,1,1,0,0,20.091,0,1,0,0,7.134,0,1,6.419,6.419,20.593,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,2,2,10,10,6,1,2,1,11,10,8,7,8,10,10,10,10,11,10,10,10,producing high quality scientific opinions,0,0,40.208,0,1,10,10,10,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,,1,,,,,,,,,,,,,,1,1,1,,,,2,,,1,,,,,,2,,2,,2,,2,,1,Opinion about EU - treatment,Case - treatment - low risk,,EFSA Reputation barometer,Q9.1|Q9.2|Q9.4|Q9.3|Q9.7|Q9.5|Q9.6,Q10.1|Q10.2|Q10.3|Q10.4|Q105|Q10.6|Q10.11|Q10.15|Q10.8|Q10.13|Q10.14|Q10.9|Q10.5|Q10.10|Q10.12|Q10.7,EFSA_survey2_power_group
R_1Ia64bddBmkNHj7,Default Response Set,Anonymous,,,,0,4/5/2019 15:03,4/5/2019 15:33,1,1,1,Chrome,73.0.3683.86,Windows NT 6.1,1280x800,-1,,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36",1,,,1,,1,,,,3,,,,,,,,,,,,,,1,10,10,10,10,11,10,7,12.253,32.739,35.518,8,1,9,1,8,6,1,11,6,5,3,10,3,7,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,23.594,0,1,22.969,24.524,29.473,6,1,49.756,50.415,57.2,2,1,10,6,11,10,6,7,1,7,7,9,8,6,6,8,9,8,8,8,9,8,8,8,Agrifood risks,162.848,162.848,176.133,1,1,7,7,7,7,12,12,12,12,1,1,1,3,7,12,7,7,7,7,1,5,1,1,1,,,,,,,,,,,,,,,1,1,,,,,2,,,,1,,,,,,1,,2,2,,1,Interested in further collaboration,1,Opinion about EU - control,,Case - control - high risk,EFSA Reputation barometer,Q9.1|Q9.4|Q9.5|Q9.2|Q9.6|Q9.3|Q9.7,Q10.1|Q10.2|Q10.3|Q10.4|Q105|Q10.10|Q10.7|Q10.13|Q10.5|Q10.9|Q10.12|Q10.8|Q10.14|Q10.11|Q10.6|Q10.15,EFSA_survey2_power_group
R_a2AhmDJ99Lh2voR,Default Response Set,Anonymous,,,,0,4/5/2019 15:29,4/5/2019 15:51,1,1,1,Chrome,73.0.3683.86,Windows NT 6.1,1536x864,-1,,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36",1,,,1,,,,,,2,,1,7,6,7,,9,,,19.713,19.713,27.852,1,,,,,,,,,,,,,1,3,1,3,4,1,7,10,5,8,6,8,2,4,3,,,,,,,,,,,,,,,,,1,1,0,0,22.956,0,1,0,0,42.707,0,1,16.325,66.317,71.864,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,4,2,10,10,1,1,7,1,10,10,10,7,8,5,8,4,10,6,6,11,8,not being influenced by any stakeholders.,18.251,83.163,168.555,2,1,3,7,8,10,2,1,10,11,1,1,6,5,12,12,12,12,12,8,1,4,1,4,,,1,,,,,,,,,,1,,,,,1,,,,2,,,,,,,1,Hungarian,,1,,2,2,,2,,1,Opinion about EU - treatment,Case - treatment - high risk,,EFSA Reputation barometer,Q9.1|Q9.4|Q9.7|Q9.2|Q9.3|Q9.5|Q9.6,Q10.1|Q10.2|Q10.3|Q10.4|Q105|Q10.6|Q10.5|Q10.14|Q10.11|Q10.7|Q10.12|Q10.10|Q10.8|Q10.15|Q10.13|Q10.9,EFSA_survey2_power_group
R_2tmLDsXzeg5Goo7,Default Response Set,Anonymous,,,,0,4/8/2019 11:49,4/8/2019 12:10,1,1,1,Edge,17.17134,Windows NT 10.0,1920x1080,-1,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134",1,1,,1,1,,1,,,3,,1,11,10,10,10,11,11,10,11.172,16.691,17.457,4,,,,,,,,,,,,,1,1,1,2,2,1,10,9,10,9,6,9,9,9,1,1,1,0,0,2.477,0,1,0,0,3.272,0,1,0,0,13.451,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,11,1,1,11,11,1,1,1,1,11,11,11,11,8,10,11,11,6,11,11,11,11,"being an independent scientific body, performing risk assessment on available scientific information.  / ",3.671,3.671,102.912,1,1,10,10,10,10,10,10,10,10,6,3,4,3,1,1,1,1,1,1,1,4,1,3,,,1,,,,,,,,,,,,,1,,,,,,2,,,,,1,,,,2,,2,,2,,2,"One of the questions mentions ""EFSA regulates"". This is not correct. EFSA does not regulate bu does only provide risk assessment. It is then up to the Commission and the member states  (risk managers) to regulate based on the scientific opinion given by EFSA",1,Opinion about EU - treatment,Case - treatment - low risk,,EFSA Reputation barometer,Q9.1|Q9.6|Q9.5|Q9.7|Q9.4|Q9.2|Q9.3,Q10.1|Q10.2|Q10.3|Q10.4|Q105|Q10.12|Q10.14|Q10.13|Q10.6|Q10.9|Q10.5|Q10.10|Q10.8|Q10.15|Q10.7|Q10.11,EFSA_survey2_power_group
